time,difficulty,peoples,detail,name
3课时							36分钟,中级,1300,"
			本课程Amazon EC2 Container Service介绍，教您快速使用ECS 运行服务，和上传ECS 镜像。
		",Amazon EC2 Container Service (ECS) 介绍
6课时							41分钟,初级,1274,"
			本期课程讲述AWS云中的负载均衡服务RDS（Amazon Relational Database Service ）。 AWS 云提供六种常用数据库引擎以供选择的托管关系数据库。只需单击数下，即可在云中设置、运行和扩展关系数据库。Amazon RDS 在多种类型的数据库实例 (针对内存、性能或 I/O 进行了优化的实例、) 上均可用，并提供六种常用的数据库引擎供您选择，包括 Amazon Aurora、PostgreSQL、MySQL、MariaDB、Oracle 和 Microsoft SQL Server。您可以使用 AWS Database Migration Service 轻松将您现有的数据库迁移或复制到 Amazon RDS。
		",AWS云中的关系型数据库服务 RDS （下）—使用 Amazon RDS创建数据库
4课时							50分钟,中级,1275,"
			Lambda是AWS提供的一款无服务器计算服务。您不需要管理服务器、不需要安装操作系统、不需要维护运行时环境、不需要担心应用的可用性和扩展性。本课程讲解Lambda的作用介绍， 如何撰写一个lambda 程序，使用Lambda的几个案例分享，只需上传您的代码，Lambda 会处理运行和扩展高可用性代码所需的一切工作。
		",AWS Lambda 无服务器计算
3课时							29分钟,初级,1340,"
			本课程中，AWS技术专家将会通过展示和实操的方式带您了解如何在管理控制台中对相关的AWS服务进行配置和操作，从而让您快速上手开始搭建自己的云架构。
		",AWS云中的内容分发设计
7课时							39分钟,初级,1580,"
			本课程中，AWS 架构师手把手教您使用云存储服务，让你快速上手 AWS 云存储服务。学完本课，你将理解基本的 S3 功能，建立S3的生命周期规则和存储服务。
		",AWS 云中云存储服务
1课时							51分钟,初级,2463,"
			极客Talks是极客学院出品的一档谈话节目，会定期邀请每个行业/职业里最专业的嘉宾/CTO的好朋友做一次深度Talks，带领学员更好理解这个职业。本期邀请到神策网络创始人&CTO曹犟，以聊天的形式，解读大数据平台研发工程师这个职业。
		",大数据平台研发工程师深入解读
1课时							30分钟,初级,1850,"
			本门课程讲解了使用PaddlePaddle框架实现情感分析功能的应用实战，通过层层深入，带领开发者从真实的工作需求出发，完成AI图像技术中的热门功能。
		",PaddlePaddle — 情感分析
1课时							24分钟,初级,1522,"
			本门课程讲解了使用PaddlePaddle框架实现图像分类功能的应用实战，通过层层深入，带领开发者从真实的工作需求出发，完成AI图像技术中的热门功能。
		",PaddlePaddle — 数字识别
3课时							86分钟,高级,4044,"
			本课程将讲解Cocos2d-x的纹理优化，包括压缩纹理的原理和使用，纹理缓存机制，以及其他的一些纹理相关的优化方式，让你详细了解 Cocos2d-x 引擎是如何对纹理进行优化的。
		",Cocos2d-x 引擎源码中的纹理优化
1课时							14分钟,初级,10726,"
			本课程从技术学习的角度解构与剖析 2016 苹果全球开发者大会，内容包括  WatchOS、TvOS、macOS 和 iOS 四大平台升级、三大应用开放和两处人工智能登场，以及程序员最关注的 Siri 的 API 开放。
		",苹果 WWDC 2016 解读
4课时							35分钟,中级,7853,"
			本课程将介绍如何使用 yo 快速开发一个基于 Gulp + Sass + Bootstrap 的网站，着重讲解 Gulp 这一自动化构建工具，并通过实例教学，帮助学员学习如何去快速搭建一个漂亮、功能完备的网站。
		",Gulp + Sass + Bootstrap 网页开发实战
6课时							95分钟,初级,11371,"
			本课程将详细讲解 xUtils3 的配置，并深入讲解注解模块、网络模块、图片模块、数据库模块四大模块在实际开发中的使用。
		",Android 快速开发框架之 xUtils3
3课时							58分钟,中级,6965,"
			本课程主要详细讲解 SQL Server 底层组件查询优化器的运行机制，了解合理的参数配置项，通过本课程的学习，理解 SQL Server 数据库底层查询优化器的运行方式，掌握我们所写的 T-SQL 语句的优化步骤，了解 SQL Server 底层原理进而掌握调优技巧。
		",Microsoft SQL Server 数据库的查询优化器的运行方式
4课时							67分钟,中级,10337,"
			本课程介绍了一个完整的树莓派项目的开发过程——可用 web 控制的人体感应小夜灯。
这个小夜灯算是一个功能很基础的「智能硬件」，但在现实生活中非常实用。
大概说来，它具有以下功能特点：
（1）可以在 web 页面上控制灯的开、关、以及自动模式，在自动模式下，当检测到人体接近的时候灯会自动点亮；
（2）可在 web 页面上设置自动模式下的人体感应时间段，只有在指定的时间段内，灯才会感应人体接近状态。在其他时间段内，灯不会点亮。
		",树莓派项目实践（一）——可用 web 控制的人体感应小夜灯
3课时							21分钟,中级,12968,"
			本课程讲述如何在用户的私有主机、公有主机上安装 Docker，同时介绍如何使用国内的镜像仓库。
		",Docker 安装
3课时							105分钟,高级,4550,"
			本课程将讲解Cocos2d-x的纹理，包括生成纹理之前，将信息从客户端保存的原始图片中解包出来，然后将信息传给GPU生成纹理，设置纹理属性，最后通过纹理单元将纹理传递给Shader，把纹理映射到图片上，让你详细了解 Cocos2d-x 引擎是如何进行使用纹理的。
		",Cocos2d-x 引擎源码中的纹理
3课时							53分钟,中级,7658,"
			本课使用 Dubbo 配置与 Web 工程交互，以及使用 Dubbo 配置多协议交互。
		",Dubbo 使用入门（下）
4课时							29分钟,中级,18219,"
			本课程介绍异步编程和同步编程的区别，分析异步编程的优势。并且通过异步编程的实例，来引导学员学习异步编程思想，提高开发效率和改善编码风格。
		",JavaScript 异步编程
4课时							52分钟,初级,16369,"
			本课程主要针对2016 Google I/O大会Keynote发布的内容进行剖析。讲解Google目前发展的技术趋势及主打方向。并针对开发者在大会中所需要了解的知识方向进行分析。让开发者们了解接下去需要学习哪些技能来应对新发布的产品及技术。以及如何进行学习。
		",Google  I/O 2016 技术揭秘与前瞻
1课时							26分钟,初级,1420,"
			本门课程讲解了使用PaddlePaddle框架实现图像分类功能的应用实战，通过层层深入，带领开发者从真实的工作需求出发，完成AI图像技术中的热门功能。
		",PaddlePaddle — 图像分类
1课时							49分钟,初级,1986,"
			本门课程为PaddlePaddle框架新手入门第一课，主要讲解相关技术背景：机器学习基础原理、热门算法推导、模型处理方案等。
		",PaddlePaddle — 新手入门
2课时							11分钟,初级,2729,"
			本课程主要针对API开发者，介绍百度OCR文字识别接口服务的相关技术内容。通过本门课程你将掌握OCR研发能力。
		",百度文字识别技术
2课时							11分钟,初级,2936,"
			本课程从技术简介、能力应用、热门场景实战等全方位讲解人脸识别基础相关技术，引领开发者快速入门。
		",百度人脸识别技术
